epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.7269,1.66462,28.5452,1.40212,0.00847,0.46,0.00968,0.00275,1.48915,2.96216,1.3251,0.0676346,0.000326923,0.000326923
2,61.8846,1.82677,3.62442,1.34738,0.00492,0.26,0.00433,0.00149,1.65382,7.57409,1.43895,0.0346345,0.000660095,0.000660095
3,80.4825,1.95249,2.66758,1.61215,0.00049,0.2,0.00051,0.00022,1.49574,6.81229,1.60532,0.00163364,0.000992619,0.000992619
4,98.7344,1.70103,2.3061,1.51503,0.00134,0.18,0.00075,0.00017,1.81539,22.5092,2.00511,0.000997803,0.000997803,0.000997803
5,116.962,1.75063,2.48305,1.47025,0.10072,0.06,0.02772,0.00783,1.71824,5.59571,1.73478,0.000996097,0.000996097,0.000996097
6,136.407,1.69685,2.11595,1.48485,0.1155,0.02,0.00462,0.00206,1.76026,5.67975,1.44741,0.000993906,0.000993906,0.000993906
7,154.344,1.66269,1.9657,1.45855,0.02463,0.14,0.0117,0.00487,1.61609,11.3028,1.31572,0.000991232,0.000991232,0.000991232
8,173.572,1.65458,1.89062,1.475,0.00486,0.06,0.0094,0.00254,1.54352,15.8584,1.38204,0.000988079,0.000988079,0.000988079
9,191.087,1.69556,1.87624,1.48269,0.01991,0.28,0.03101,0.00874,1.51867,3.46602,1.294,0.000984449,0.000984449,0.000984449
10,210.058,1.65734,1.9147,1.48426,0.87901,0.1,0.11968,0.0663,1.25303,8.22941,1.18451,0.000980345,0.000980345,0.000980345
11,228.35,1.61371,1.7286,1.43248,0.69309,0.02,0.01576,0.00624,1.69089,13.6647,1.62328,0.000975773,0.000975773,0.000975773
12,247.779,1.52496,1.86226,1.28052,0.00159,0.3,0.00109,0.00069,1.62406,13.0274,1.40516,0.000970736,0.000970736,0.000970736
13,265.692,1.57061,1.94621,1.40879,0.00292,0.04,0.00174,0.00078,1.7807,4.38803,1.53948,0.000965239,0.000965239,0.000965239
14,284.787,1.5341,1.67582,1.40789,0.00696,0.02,0.00543,0.00173,1.51267,9.88193,1.47766,0.000959289,0.000959289,0.000959289
15,302.312,1.47418,1.51762,1.32904,0.15557,0.16,0.07462,0.02151,1.64245,3.08194,1.44636,0.000952889,0.000952889,0.000952889
16,320.419,1.40589,1.50558,1.31312,0.01707,0.02,0.008,0.00273,1.97745,4.37061,1.70771,0.000946048,0.000946048,0.000946048
17,338.369,1.46605,1.39496,1.34928,0.00476,0.02,0.00242,0.00074,1.89605,14.5387,1.72185,0.000938772,0.000938772,0.000938772
18,356.315,1.43797,1.6207,1.31115,0.00298,0.06,0.00159,0.00036,1.57287,15.0619,1.57988,0.000931067,0.000931067,0.000931067
19,374.55,1.38022,1.37545,1.28062,0.02735,0.14,0.01347,0.00549,1.46462,5.29993,1.37127,0.000922942,0.000922942,0.000922942
20,392.772,1.33044,1.2437,1.27324,0.00457,0.26,0.00305,0.00118,1.67515,8.95146,1.69774,0.000914405,0.000914405,0.000914405
21,411.322,1.29938,1.36345,1.24312,0.04566,0.2,0.08684,0.01417,1.7993,3.53217,1.88065,0.000905463,0.000905463,0.000905463
22,429.149,1.28162,1.27928,1.23725,0.02073,0.06,0.00887,0.00361,1.54529,7.71834,1.43284,0.000896127,0.000896127,0.000896127
23,447.348,1.36223,1.32523,1.2842,0.06266,0.06,0.03281,0.0128,1.48849,5.19127,1.30015,0.000886404,0.000886404,0.000886404
24,465.235,1.24617,1.18144,1.24004,0.01326,0.32,0.01023,0.00255,1.72957,3.74525,1.46907,0.000876305,0.000876305,0.000876305
25,482.723,1.30801,1.27393,1.27522,0.02747,0.04,0.01028,0.00388,1.60264,5.11957,1.45582,0.000865839,0.000865839,0.000865839
26,500.935,1.26136,1.17321,1.19933,0.02628,0.24,0.01777,0.00563,1.77582,12.9742,1.5319,0.000855018,0.000855018,0.000855018
27,519.584,1.31711,1.1303,1.25802,0.13128,0.12,0.06863,0.0348,1.47278,4.71147,1.25926,0.000843851,0.000843851,0.000843851
28,538.064,1.25318,1.16973,1.24258,0.32195,0.26,0.1528,0.05755,1.35696,6.43282,1.19345,0.000832349,0.000832349,0.000832349
29,556.953,1.17068,1.01841,1.14228,0.78333,0.16,0.18242,0.06329,1.57465,3.21769,1.44305,0.000820525,0.000820525,0.000820525
30,576.421,1.15084,1.09862,1.14044,0.29663,0.16,0.10664,0.04577,1.45683,6.49737,1.27931,0.000808389,0.000808389,0.000808389
31,595.124,1.20824,1.01556,1.18512,0.04002,0.16,0.0145,0.0046,1.71242,10.8157,1.59894,0.000795954,0.000795954,0.000795954
32,614.768,1.22948,1.05989,1.21978,0.15018,0.1,0.06374,0.01832,1.56645,3.6591,1.45159,0.000783231,0.000783231,0.000783231
33,633.534,1.19158,1.04681,1.18351,0.01874,0.4,0.03514,0.01817,1.6135,4.00515,1.43021,0.000770234,0.000770234,0.000770234
34,652.877,1.20515,1.09269,1.19157,0.01333,0.16,0.0078,0.00255,1.65081,4.30294,1.55872,0.000756976,0.000756976,0.000756976
35,671.931,1.11336,1.00592,1.12502,0.01014,0.38,0.00795,0.00356,1.59204,7.25915,1.42935,0.000743468,0.000743468,0.000743468
36,691.058,1.08059,1.01901,1.1081,0.01794,0.22,0.01035,0.00504,1.68516,33.983,1.58275,0.000729725,0.000729725,0.000729725
37,710.611,1.10786,1.08932,1.14843,0.03008,0.06,0.0135,0.00654,1.67506,3.58452,1.5472,0.000715761,0.000715761,0.000715761
38,730.611,1.1383,0.88035,1.16548,0.01864,0.18,0.0126,0.00514,1.67237,13.3117,1.53579,0.000701588,0.000701588,0.000701588
39,749.827,1.16314,1.01894,1.16643,0.00689,0.14,0.0046,0.00124,1.93227,4.37506,1.82839,0.000687222,0.000687222,0.000687222
40,770.181,1.09343,1.0041,1.10663,0.02669,0.06,0.01116,0.00314,1.53249,5.14856,1.48398,0.000672675,0.000672675,0.000672675
41,788.739,1.09869,1.00562,1.1263,0.04381,0.16,0.02195,0.01006,1.33112,7.25646,1.26806,0.000657963,0.000657963,0.000657963
42,808.918,1.06922,0.92422,1.09252,0.02393,0.04,0.00681,0.00287,1.93893,4.78682,1.72865,0.000643101,0.000643101,0.000643101
43,827.346,1.04112,0.85993,1.11795,0.06928,0.1,0.0333,0.01164,1.73446,4.67372,1.782,0.000628101,0.000628101,0.000628101
44,847.55,1.04118,0.80247,1.09879,0.00314,0.02,0.00198,0.00045,1.58354,9.87109,1.68298,0.000612981,0.000612981,0.000612981
45,866.184,1.03611,0.80947,1.09085,0.00268,0.06,0.00161,0.00066,1.89728,8.75518,1.96583,0.000597754,0.000597754,0.000597754
46,886.416,0.98748,0.73673,1.06324,0.10451,0.18,0.04998,0.01668,1.87741,7.24257,2.05718,0.000582435,0.000582435,0.000582435
47,904.737,1.03861,0.77731,1.10968,0.18084,0.14,0.06367,0.01545,1.80382,4.70233,1.8306,0.00056704,0.00056704,0.00056704
48,925.149,1.01614,0.75497,1.08514,0.02219,0.28,0.01687,0.00647,1.65414,9.96334,1.65044,0.000551584,0.000551584,0.000551584
49,943.733,0.94713,0.70726,1.05973,0.04153,0.26,0.02983,0.01086,1.72421,4.85979,1.68083,0.000536081,0.000536081,0.000536081
50,963.565,0.95717,0.81419,1.04175,0.01258,0.04,0.01023,0.00381,2.15285,6.394,2.37726,0.000520548,0.000520548,0.000520548
51,982.489,0.97057,0.77259,1.04805,0.00701,0.16,0.00446,0.00228,1.8475,16.0618,1.91038,0.000505,0.000505,0.000505
52,1002.42,0.98845,0.71205,1.06324,0.01724,0.24,0.01296,0.00507,1.75083,8.55767,1.67867,0.000489452,0.000489452,0.000489452
53,1021.28,0.9711,0.69839,1.06603,0.06969,0.02,0.01201,0.0045,1.78424,5.9111,1.6756,0.000473919,0.000473919,0.000473919
54,1041.58,0.92229,0.72392,1.01434,0.35904,0.12,0.12904,0.05488,1.8487,3.69122,1.83463,0.000458416,0.000458416,0.000458416
55,1060.33,0.91158,0.66332,1.00419,0.1385,0.06,0.0262,0.01038,1.80149,4.86334,1.90033,0.00044296,0.00044296,0.00044296
56,1080.09,0.96727,0.76722,1.02906,0.17354,0.02,0.01349,0.00381,1.75383,5.13219,1.74516,0.000427565,0.000427565,0.000427565
57,1098.84,0.93958,0.6317,1.05434,0.00997,0.14,0.00645,0.00319,1.77774,6.59018,1.87121,0.000412246,0.000412246,0.000412246
58,1118.94,0.87574,0.5865,0.97015,0.01313,0.12,0.00771,0.00151,1.84352,4.93577,2.07996,0.000397019,0.000397019,0.000397019
59,1137.67,0.90303,0.68055,1.03542,0.02743,0.22,0.02192,0.005,1.81035,4.83272,1.99419,0.000381899,0.000381899,0.000381899
60,1158.33,0.93688,0.65753,1.05243,0.01212,0.12,0.00697,0.00314,1.68469,4.74254,1.75318,0.000366899,0.000366899,0.000366899
61,1176.71,0.8106,0.59921,0.98001,0.00789,0.08,0.0043,0.00106,1.74639,5.50699,1.7084,0.000352037,0.000352037,0.000352037
62,1196.56,0.88286,0.60024,1.00351,0.01051,0.12,0.00642,0.00334,1.90084,5.66801,1.87135,0.000337325,0.000337325,0.000337325
63,1215.01,0.86373,0.56513,0.98728,0.09429,0.04,0.01458,0.00831,1.7885,6.82571,1.73571,0.000322778,0.000322778,0.000322778
64,1235,0.82497,0.57069,0.97048,0.1056,0.06,0.02447,0.01149,1.81211,5.39748,1.67378,0.000308412,0.000308412,0.000308412
65,1253.79,0.81179,0.56036,0.98369,0.03648,0.06,0.01301,0.00685,1.90959,6.56142,1.76763,0.000294239,0.000294239,0.000294239
66,1273.17,0.81962,0.58255,0.98498,0.02212,0.1,0.02053,0.01135,1.91384,4.43479,1.84844,0.000280275,0.000280275,0.000280275
67,1293.08,0.80987,0.54825,0.97048,0.23535,0.08,0.05386,0.03025,1.77314,4.99667,1.7272,0.000266532,0.000266532,0.000266532
68,1312.27,0.79725,0.52452,0.97736,0.56486,0.08,0.08496,0.05269,1.53784,4.558,1.40585,0.000253024,0.000253024,0.000253024
69,1331.83,0.79311,0.53634,0.94848,0.14212,0.06,0.02974,0.02124,1.51992,4.827,1.4177,0.000239766,0.000239766,0.000239766
70,1350.82,0.73452,0.50601,0.90761,0.1025,0.04,0.01387,0.0091,1.71735,5.0983,1.6237,0.000226769,0.000226769,0.000226769
71,1369.07,0.79102,0.50626,0.96605,0.05562,0.04,0.01149,0.00624,1.80047,4.85056,1.80858,0.000214046,0.000214046,0.000214046
72,1388.56,0.79068,0.53364,0.96279,0.05502,0.08,0.02152,0.00977,1.91113,4.94736,1.904,0.000201611,0.000201611,0.000201611
73,1407.07,0.76526,0.49503,0.94091,0.0732,0.04,0.02766,0.01378,1.97024,4.84792,2.02558,0.000189475,0.000189475,0.000189475
74,1426.97,0.73328,0.5117,0.93532,0.13715,0.04,0.02503,0.01219,1.92614,4.77586,1.86204,0.000177651,0.000177651,0.000177651
75,1445.5,0.73609,0.48169,0.95162,0.15567,0.2,0.08576,0.04079,1.79448,4.45073,1.75387,0.000166149,0.000166149,0.000166149
76,1465.28,0.72157,0.49378,0.92794,0.19154,0.14,0.07429,0.03665,1.71301,4.48896,1.74428,0.000154982,0.000154982,0.000154982
77,1483.74,0.73555,0.48834,0.93851,0.03032,0.02,0.00862,0.00394,1.89082,4.9308,1.95668,0.000144161,0.000144161,0.000144161
78,1503.65,0.71527,0.47834,0.90902,0.00565,0.02,0.0032,0.00096,2.07524,4.98928,2.13699,0.000133695,0.000133695,0.000133695
79,1523.3,0.67263,0.47007,0.89171,0.00524,0.02,0.00277,0.00083,2.0339,5.25956,2.08659,0.000123596,0.000123596,0.000123596
80,1542.45,0.71857,0.4715,0.94437,0.01379,0.08,0.00764,0.00282,1.94123,5.43415,2.01327,0.000113873,0.000113873,0.000113873
81,1562.45,0.71446,0.45388,0.89908,0.01276,0.1,0.00735,0.0023,1.88006,5.59131,1.9568,0.000104537,0.000104537,0.000104537
82,1580.55,0.69042,0.45721,0.95121,0.01179,0.1,0.00663,0.00234,1.84622,6.01646,1.94556,9.55951e-05,9.55951e-05,9.55951e-05
83,1600.17,0.68936,0.46948,0.92055,0.01113,0.12,0.00703,0.00271,1.81565,6.35424,1.92778,8.70577e-05,8.70577e-05,8.70577e-05
84,1618.45,0.70317,0.45159,0.93695,0.01373,0.12,0.00773,0.00226,1.81551,5.80828,1.90505,7.89327e-05,7.89327e-05,7.89327e-05
85,1638.08,0.67087,0.47159,0.89202,0.01094,0.1,0.00628,0.00215,1.7815,6.18348,1.90899,7.12282e-05,7.12282e-05,7.12282e-05
86,1656.77,0.68587,0.44278,0.8995,0.01443,0.04,0.00966,0.0032,1.74037,6.69438,1.83298,6.39518e-05,6.39518e-05,6.39518e-05
87,1675.79,0.66345,0.44056,0.90844,0.0186,0.16,0.01117,0.00399,1.70967,6.06638,1.77998,5.71106e-05,5.71106e-05,5.71106e-05
