epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.5259,1.82276,11.4869,1.58661,0.20441,0.05907,0.04546,0.01917,2.33046,5.35043,1.62062,0.0675077,0.000328205,0.000328205
2,142.61,1.76781,2.24596,1.53246,0.1718,0.19409,0.09583,0.04922,2.3242,9.17674,1.62864,0.0345075,0.000661377,0.000661377
3,194.105,1.66961,2.08253,1.47096,0.00693,0.32068,0.0073,0.00341,2.85189,5.3009,2.3196,0.00150672,0.0009939,0.0009939
4,257.443,1.65435,1.98376,1.5061,0.09414,0.02954,0.01165,0.00705,2.78561,11.864,2.15963,0.000997803,0.000997803,0.000997803
5,304.31,1.58429,1.69493,1.39349,0.13904,0.1097,0.03778,0.01675,2.92541,5.57657,2.00057,0.000996097,0.000996097,0.000996097
6,329.306,1.54468,1.74593,1.38581,0.01542,0.10127,0.01008,0.00429,2.88364,6.58451,2.1767,0.000993906,0.000993906,0.000993906
7,352.083,1.58009,1.68666,1.40817,0.21527,0.14346,0.10163,0.05594,2.43776,4.40599,1.79904,0.000991232,0.000991232,0.000991232
8,386.652,1.55238,1.63736,1.37632,0.16783,0.18987,0.07392,0.03389,2.80872,6.94526,1.87826,0.000988079,0.000988079,0.000988079
9,411.724,1.51155,1.59771,1.34353,0.0479,0.08017,0.01759,0.00807,2.63558,6.21657,1.88633,0.000984449,0.000984449,0.000984449
10,436.441,1.49108,1.45054,1.3659,0.47486,0.17722,0.16387,0.07623,2.75774,4.99844,1.97938,0.000980345,0.000980345,0.000980345
11,502.68,1.47902,1.62852,1.32244,0.20752,0.21097,0.08498,0.03296,2.79495,6.69025,2.21112,0.000975773,0.000975773,0.000975773
12,576.344,1.39232,1.49872,1.29724,0.05649,0.05331,0.0156,0.00711,2.48117,6.171,1.87369,0.000970736,0.000970736,0.000970736
13,645.496,1.38248,1.38869,1.29941,0.37251,0.21519,0.14424,0.05943,2.73378,6.00736,1.93145,0.000965239,0.000965239,0.000965239
14,713.009,1.35587,1.35185,1.26192,0.33364,0.20704,0.1679,0.07519,2.13545,4.29877,1.55617,0.000959289,0.000959289,0.000959289
15,797.774,1.39422,1.43291,1.28379,0.04174,0.04219,0.01359,0.00796,2.52805,5.48443,1.9655,0.000952889,0.000952889,0.000952889
16,880.358,1.32952,1.31879,1.23116,0.05401,0.02954,0.0144,0.00912,2.5175,5.78435,1.76988,0.000946048,0.000946048,0.000946048
17,960.346,1.36885,1.22433,1.25742,0.18271,0.08017,0.04708,0.02489,2.46681,5.27855,1.79878,0.000938772,0.000938772,0.000938772
18,1040,1.34313,1.25101,1.24583,0.253,0.16034,0.10671,0.0489,2.29592,5.13871,1.77455,0.000931067,0.000931067,0.000931067
19,1112.82,1.30282,1.24589,1.20981,0.07647,0.09705,0.04473,0.02132,2.48679,6.27923,1.85653,0.000922942,0.000922942,0.000922942
20,1187.14,1.28835,1.08041,1.21872,0.07504,0.04641,0.02524,0.0138,2.40548,5.98103,1.852,0.000914405,0.000914405,0.000914405
21,1270.47,1.28021,1.19349,1.20845,0.12489,0.06751,0.04707,0.02453,2.45336,5.57551,1.8785,0.000905463,0.000905463,0.000905463
22,1347.33,1.27359,1.11467,1.22513,0.50066,0.04641,0.05321,0.02401,2.32427,5.79972,1.77173,0.000896127,0.000896127,0.000896127
23,1428.06,1.26723,1.07178,1.21105,0.14593,0.08861,0.04038,0.02023,2.26189,7.8739,1.64641,0.000886404,0.000886404,0.000886404
24,1504.33,1.21894,0.96531,1.19341,0.21536,0.09705,0.08936,0.04766,2.4864,5.28601,1.77867,0.000876305,0.000876305,0.000876305
25,1578.99,1.25274,1.08118,1.18922,0.15365,0.12658,0.0634,0.03508,2.48293,6.49237,1.80491,0.000865839,0.000865839,0.000865839
26,1638.09,1.25699,1.08535,1.21521,0.06746,0.24051,0.07657,0.03986,2.36324,5.8303,1.87284,0.000855018,0.000855018,0.000855018
27,1669.31,1.24059,1.07649,1.20027,0.17508,0.14346,0.06809,0.0317,2.22953,5.23643,1.70879,0.000843851,0.000843851,0.000843851
28,1695.71,1.23215,1.05644,1.19608,0.43822,0.14346,0.16092,0.07152,2.49664,4.86923,1.89433,0.000832349,0.000832349,0.000832349
29,1747.47,1.15496,0.98468,1.13033,0.39239,0.05907,0.05983,0.03261,2.59945,6.01052,2.02496,0.000820525,0.000820525,0.000820525
30,1819.35,1.12168,0.91836,1.1239,0.21251,0.01688,0.0196,0.01251,2.53512,6.31486,1.8482,0.000808389,0.000808389,0.000808389
31,1892.36,1.20647,0.96341,1.17427,0.71797,0.1308,0.21593,0.09036,2.59296,5.00061,1.91214,0.000795954,0.000795954,0.000795954
32,1964.6,1.16979,0.96412,1.13477,0.26092,0.12236,0.08496,0.04683,2.41392,5.5677,1.85533,0.000783231,0.000783231,0.000783231
33,2046.46,1.12885,0.88499,1.11107,0.41731,0.05139,0.05383,0.02317,2.80218,6.32619,1.93629,0.000770234,0.000770234,0.000770234
34,2132.99,1.1217,0.97578,1.10237,0.6568,0.16034,0.18648,0.07857,2.45506,4.20111,1.77917,0.000756976,0.000756976,0.000756976
35,2219.32,1.12081,0.84668,1.12006,0.51648,0.1519,0.20795,0.10485,2.13536,4.67539,1.60605,0.000743468,0.000743468,0.000743468
36,2303.56,1.14636,0.84504,1.112,0.33971,0.18143,0.1651,0.07842,2.5661,6.65196,1.8973,0.000729725,0.000729725,0.000729725
